"i","j","1-i-j","MSE.Regression","MSPE.Regression","MSE.forest","MSPE.forest","MSPE.Knn","MSE.Ensemble","MSPE.Ensemble"
0.1,0.7,0.2,19.6213351915239,20.2823186316276,21.0799162589745,21.1025330000102,28.9030681818182,14.2885958994596,21.0569618734003
0.1,0.8,0.1,19.5840818969949,20.4530533506442,21.065271713817,21.1622531180008,28.8794318181818,13.1562846777867,20.9560463546457
0.1,0.9,0,19.7629750777767,19.7148354283905,21.2258885734415,20.3746505524904,28.5982954545455,12.4118780130163,20.1975251542752
0.2,0,0.8,19.7155135732792,19.913161363881,21.2366968185857,20.6130007573316,28.9447727272727,27.5553622094205,25.6891153164309
0.2,0.1,0.7,19.6017824435576,20.4136687217274,21.0580595716853,21.1736963640209,29.1403409090909,24.8027483535959,24.6411112551197
0.2,0.2,0.6,19.6625069667547,20.1359557828472,21.0914972403932,21.0145346492582,28.7209090909091,22.3264971647312,23.2189480637512
0.2,0.3,0.5,19.8044785116481,19.568315275292,21.2790574403223,20.3485859995921,27.7857954545455,20.2691040268452,21.5298534305653
0.2,0.4,0.4,19.6485475000807,20.208734401037,21.1546541069618,20.8140290261306,28.9763636363636,18.2399456768275,21.6521341969399
0.2,0.5,0.3,19.4389021502098,21.0274846068407,20.9893804334543,21.6651375876049,29.7402272727273,16.3517051779195,21.9436805921347
0.2,0.6,0.2,19.5384502825994,20.6204533123013,20.9390709740292,21.6513807435789,29.0104545454545,14.9392063126961,21.2987250786289
0.2,0.7,0.1,19.863987308854,19.3277398727081,21.3104516697173,20.2161978505881,27.7971590909091,14.0287468377585,19.7858878124546
0.2,0.8,0,19.5948458155961,20.4564879147747,21.1178768144839,21.1800107698609,29.0690909090909,12.977862450175,20.8311702761589
0.3,0,0.7,19.5734354900217,20.4924687454865,21.0343280648642,21.2942492122315,28.9559090909091,25.706939330077,24.4873896802279
0.3,0.1,0.6,19.5520990603108,20.6024305617501,20.9767589575162,21.5280494075871,29.3798863636364,23.0850622165005,23.7162961631466
0.3,0.2,0.5,19.5310372283451,20.7069295755527,20.9624945994203,21.6281152119622,29.6175,20.7941941934948,22.9640026870045
0.3,0.3,0.4,19.5188138920227,20.6883776237239,21.0678219493315,21.2065090563852,30.2876136363636,18.8120362375311,22.3719964958798
0.3,0.4,0.3,19.5382867266967,20.671721386933,21.0174803109739,21.3364746246106,29.1594318181818,17.1887108331572,21.4214456931212
0.3,0.5,0.2,19.8583990768946,19.3827296851385,21.2404189014527,20.3966068230996,27.7981818181818,15.9202916800458,19.9041718165163
0.3,0.6,0.0999999999999999,19.4138836553673,21.1279541095636,20.9053912185893,22.0364202170585,30.3655681818182,14.4575197997341,21.5519147179098
0.3,0.7,0,19.6343045340649,20.2529990776711,21.0318519673796,21.136484257474,29.2272727272727,13.6743552704284,20.607253047723
0.4,0,0.6,19.9441168077494,19.0892186720028,21.4391941572706,19.71031089999,27.7767045454545,24.4388451894515,22.0899366044556
0.4,0.1,0.5,19.9114569712233,19.1264854562776,21.4027723764427,19.8871634837181,28.3314772727273,22.110429821319,21.4165779490832
0.4,0.2,0.4,19.7438369803456,19.7971193574212,21.13016777431,20.6950804295883,28.5378409090909,19.9117350843185,21.1922144446872
0.4,0.3,0.3,19.3560955991589,21.3638715975245,20.9494714240167,21.9003924586543,30.1673863636364,17.907406057687,22.1106507835026
0.4,0.4,0.2,19.3873249487596,21.240551308325,20.9217747932322,21.7667728143557,30.0736363636364,16.3710902324439,21.5308110389108
0.4,0.5,0.1,19.7454575537945,19.7997807093747,21.229244380844,20.5910750530672,28.175,15.4589052658478,19.953292980771
0.4,0.6,0,19.4949689129512,20.8667357361979,21.031064750235,21.4883343370278,29.5652272727273,14.3144478790866,20.9443178963795
0.5,0,0.5,19.6790127817357,20.085501346953,21.1782734144895,20.6819523145757,28.4414772727273,22.7738910872891,22.0078783308237
0.5,0.1,0.4,19.5899846854162,20.4289140119872,21.1218988335126,21.04387613581,29.1796590909091,20.5815691298428,21.7325713349327
0.5,0.2,0.3,19.4549590863611,20.957116585419,20.9656491959157,21.863137342278,30.1607954545455,18.7247219547787,21.8668051271578
0.5,0.3,0.2,19.6183363516337,20.3196758723562,21.0988202310935,21.074551395678,29.0230681818182,17.3991030338778,20.6576033916049
